id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9551967,Newer Home in SW Portland!,47141750,Lance,,Multnomah,45.47136,-122.70207,Entire home/apt,234,2,104,11/5/2021,1.42,1,22,4,16-105409-000-00-HO
9578248,Little House near Alberta Arts,25235410,Elaine,,Concordia,45.56392,-122.63373,Entire home/apt,128,2,397,11/29/2021,5.37,1,311,32,16-279700-000-00-HO
9609842,Beautifully Restored Upper Level,45926254,Erica,,Buckman,45.51597,-122.64357,Entire home/apt,82,30,36,11/25/2021,0.5,3,309,2,R287841
9632943,Fashionable Flat Close-In East Side,46497916,Yvonne,,Kerns,45.52316,-122.63194,Entire home/apt,99,30,114,8/16/2021,1.56,1,290,5,
9645560,Charming Hawthorne Victorian,1789316,Lela & Toren,,Sunnyside,45.51403,-122.62123,Entire home/apt,300,30,0,,,1,353,0,
9712130,NoPo Charm -  Convenience w/ Semi-Private Bath,39022970,Ed & Ann,,Arbor Lodge,45.56908,-122.68346,Private room,45,2,53,2/17/2020,0.78,2,167,0,17-177889-000-00-HO
9729366,Private Garden Room with Bath. No cleaning fees.,15310395,Ildikó,,Brooklyn Action Corps,45.4882,-122.65021,Private room,56,2,194,12/12/2021,2.92,2,56,35,16-202526-000-00-HO
9731376,Little Russian Art Studio,50214783,Bree,,Arbor Lodge,45.56962,-122.68727,Entire home/apt,87,3,11,2/18/2020,0.15,1,77,0,City registration pending
9732892,"Quiet, convenient & comfortable!",22298379,Marcelo,,Sylvan-Highlands,45.51168,-122.73592,Entire home/apt,295,7,51,9/28/2021,0.71,1,162,8,17-144642-000-00-HO
9736647,Sunnyside Sanctuary_Belmont/Hawthorne/Laurelhurst,33451922,Sandy,,Sunnyside,45.51795,-122.62498,Entire home/apt,300,5,6,12/14/2020,0.09,1,322,0,City registration pending
9759612,Room/ B_Green,50332020,Moussa,,Lents,45.46858,-122.57422,Private room,35,7,134,7/3/2020,1.84,2,177,0,15-265190-000-00-HO
9760306,Room/A_Green,50332020,Moussa,,Lents,45.4686,-122.57194,Private room,40,7,108,5/21/2021,1.48,2,179,1,15-265190-000-00-HO
9770224,"SUPER CLEAN!! HIP, NEW HOME IN PORTLAND HOT SPOT!",7858592,Dana,,King,45.56107,-122.65886,Entire home/apt,358,1,279,12/3/2021,3.88,1,345,43,City registration pending
9812111,3 Night Minimum;  Private Guest Suite,13676520,Sherold,,Hillsdale,45.49118,-122.70607,Entire home/apt,95,3,139,12/19/2021,2.03,1,115,12,17-117946-000-00-HO
9887235,"Tranquil/Bright 2 Bedroom, home in NE Portland",50860253,Brian,,Cully,45.55861,-122.61386,Entire home/apt,95,2,34,10/31/2021,0.7,1,108,5,City registration pending
9899175,2BR/1BA: Amazing Nob Hill Alphabet Dist. Location!,20727837,George,,Northwest District,45.52635,-122.69735,Entire home/apt,236,2,47,12/5/2021,0.67,2,81,40,14-230467-000-00-HO
9905408,Nan's North Portland Crepe Myrtle Cottage,50933310,Nan,,Boise,45.55052,-122.67599,Entire home/apt,65,30,4,12/28/2016,0.06,1,304,0,
9925170,Explore Trails & Northwest Nob Hill From Guesthouse Getaway,51019210,Tracie,,Northwest District,45.53762,-122.71472,Entire home/apt,209,2,147,11/29/2021,2.42,4,109,16,17-155282-000-00-HO
9941824,Arabian Nights Love Nest,47482973,Ellen,,South Portland,45.49453,-122.67632,Private room,56,2,70,1/26/2021,0.96,1,57,2,Exempt
9954390,Charming Sellwood Apartment,51154190,Richard & Jacquie,,Sellwood-Moreland Improvement League,45.46628,-122.65619,Entire home/apt,135,2,189,11/30/2021,2.67,1,317,44,City registration pending
9960778,Alberta Arts Craftsman 4 Bedroom,27447858,Christine,,King,45.56277,-122.6564,Entire home/apt,315,30,30,8/31/2021,0.41,1,0,2,16-279782-000-00-HO
9974948,Big Beautiful Home in a Great Neighborhood.,1881674,Jennifer,,Mt. Tabor,45.516,-122.58784,Entire home/apt,255,6,17,1/12/2019,0.24,1,0,0,15-174990-000-00-HO
9978138,Charmer 1894 Rowhouse 94 walk score / Max train,51273080,Danny,,Brooklyn Action Corps,45.49989,-122.65575,Entire home/apt,150,3,332,11/27/2021,4.55,1,9,42,City registration pending
9995993,Logan Home on Gladstone,51352005,Hal,,Creston-Kenilworth,45.49411,-122.63088,Entire home/apt,99,1,138,11/28/2021,1.9,1,312,17,15-255774-000-00-HO
10000222,Inspiring Floating Home on the Columbia River!,4066011,Tressa,,Sunderland,45.57364,-122.62828,Private room,139,2,35,11/11/2018,0.63,1,71,0,City registration pending
10054011,"Private Room with Bathroom, Steps to Division",45290628,Division Inns,,Richmond,45.50503,-122.62822,Private room,97,1,119,11/19/2021,1.65,12,347,17,Exempt
10076954,"Starlight Cabin, Rustic  in City, ONE GUEST ONLY",51243494,Sally,,Roseway,45.54898,-122.58103,Entire home/apt,90,3,32,6/25/2021,0.45,1,137,3,15-188648-000-00-HO
10125565,Private Room/Bath in European-Style Home,50483247,Miriam,,Multnomah,45.47091,-122.70256,Private room,54,1,70,3/8/2020,1.05,1,16,0,16-278954-000-00-HO
10153895,"Cozy one bedroom, awesome location",1586097,Elena,,Sabin,45.54939,-122.6509,Entire home/apt,72,30,121,12/4/2021,1.7,1,61,7,
10168070,Cozy room near OHSU (host vaccinated),10891957,Mike,,South Portland,45.49776,-122.67458,Private room,39,2,307,12/11/2021,4.22,1,332,36,15-206755-000-00-HO
10230029,Cozy Studio In the Woods,141076,Jane,,Arnold Creek,45.44566,-122.70959,Entire home/apt,60,30,3,9/2/2021,0.04,2,0,1,200271825
10234930,"Gorgeous, Daylight Basement Unit - SW Portland",51871048,Yerachmiel,,Hillsdale,45.47469,-122.69408,Entire home/apt,86,1,119,10/24/2021,1.65,1,322,12,City registration pending
10251490,"Private Room with Views, Steps to Division St.",45290628,Division Inns,,Richmond,45.50503,-122.62822,Private room,85,1,63,12/17/2021,0.92,12,338,14,Exempt
10294233,Comfy Convenient Home in Lovely Montavilla,52959802,Mia,,Montavilla,45.51974,-122.58252,Entire home/apt,60,2,55,11/27/2021,1.28,1,0,8,City registration pending
10343033,Turn of the Century PDX Craftsman,53232555,Dawn,,Brooklyn Action Corps,45.49253,-122.65567,Private room,64,3,114,9/20/2021,1.58,2,177,7,17-155634-000-00-HO
10364776,"King Bed, Private Bathroom, Steps to Division St.",45290628,Division Inns,,Richmond,45.50503,-122.62822,Private room,109,1,41,10/15/2021,0.58,12,332,4,Exempt
10366008,Near Airport/15 mins to Downtown -Boho Artist Room,42719900,Matt,,Madison South,45.54657,-122.57281,Private room,35,1,105,12/11/2021,1.47,1,351,18,16-245725-000-00-HO
10387521,NowStayingPDX,45402529,Dan,,Hosford-Abernethy,45.5043,-122.64227,Entire home/apt,257,2,37,12/5/2021,1.73,1,262,35,19-232262-000-00-HO
10406727,"Front Bedroom in Cozy, Artsy, St. Johns Bungalow",13263099,Suzy,,St. Johns,45.58838,-122.74464,Private room,71,2,108,11/28/2021,1.76,3,351,4,16-231596-000-00-HO
10491067,"King Room with Full Bath, Steps to Division St.",45290628,Division Inns,,Richmond,45.50503,-122.62822,Private room,109,1,18,10/17/2021,0.25,12,337,3,Exempt
10632817,Charming home in Sunnyside—blocks from Hawthorne,6486134,Hannah,,Sunnyside,45.51576,-122.63468,Entire home/apt,160,5,11,8/9/2021,0.17,1,0,3,City registration pending
10687245,Cozy + Contemporary In Inner SE,55214361,Margaret,,Richmond,45.50536,-122.62988,Entire home/apt,109,2,244,11/21/2021,3.44,1,49,36,17-125756-000-00-HO
